temperature_C,pH,enrichment,thymine_fraction,dna_yield,half_life_hours,stability_ratio,k_U,k_T,k_C,k_A,poly_rate,uv_resistance_ratio,vesicle_fraction,comp_U,comp_T,comp_C,comp_A
70.0,9.0,0.4813107298371934,0.0395279343344555,223346.6684180342,8.863909760037226,121.56420755883534,2.3507171993183432e-05,1.757931613801425e-07,7.986101948599058e-05,3.5338057055784322e-06,0.07601372512430825,4.107142857142857,0.57375,141967.0,6270.0,924.0,9461.0
70.0,9.5,0.470450337365419,0.038636018044503014,223024.8729495685,5.958974106543414,124.18774007139369,3.493593256293061e-05,2.5574133707010825e-07,0.00011861222812008747,5.27379873589863e-06,0.0600159657886213,4.107142857142857,0.47812499999999997,141328.0,6098.0,934.0,9472.0
70.0,10.0,0.4866579013040029,0.0399670740201355,225364.73090302656,4.469599816265543,112.53305707523987,4.659205366133784e-05,3.763908447904196e-07,0.00016890977742482508,7.188468618498603e-06,0.04469533061656759,4.107142857142857,0.3825,141181.0,6312.0,915.0,9522.0
73.0,5.0,0.4758726369264081,0.03908132767028472,225296.97793169104,13.339320129965161,95.13749805008527,1.5552855562508687e-05,1.4861605457437142e-07,6.183628185644668e-05,2.4629598220018627e-06,0.010934902001653772,4.107142857142857,0.1785,142376.0,6211.0,896.0,9442.0
73.0,5.5,0.4785643828714802,0.03930238893147422,230242.53417128412,14.548481253459277,95.14689499312169,1.4259286835309426e-05,1.3624183987335154e-07,5.668925919424819e-05,2.2580505673880435e-06,0.016408027992539955,4.107142857142857,0.26775,141329.0,6204.0,913.0,9407.0
73.0,6.0,0.48302158225218755,0.03966843912216033,225497.85815367568,16.000955235731254,95.17828718552576,1.2970591411985165e-05,1.238879904949741e-07,5.155392363669429e-05,2.0537983712321186e-06,0.026220186454499257,4.107142857142857,0.357,141498.0,6274.0,924.0,9465.0
73.0,6.5,0.48335913312693496,0.039696160691584034,230423.49525363598,15.983582207763751,95.28266321422548,1.2995910012364405e-05,1.23993843675857e-07,5.1614662141159086e-05,2.057212451286671e-06,0.044910920164600826,4.107142857142857,0.44625,140601.0,6245.0,919.0,9555.0
73.0,7.0,0.46992403223945145,0.03859279491821582,222999.3128444991,15.84283457568617,95.62678708133987,1.3079809004392912e-05,1.2434523653319843e-07,5.181618824056974e-05,2.068531199256212e-06,0.07092273112232933,4.107142857142857,0.5355,141898.0,6118.0,967.0,9544.0
73.0,7.5,0.4787891774700792,0.0393208503236297,222024.9223595498,15.536156028093824,96.73776439821792,1.3355221977741769e-05,1.2550539041689715e-07,5.2480423836653896e-05,2.1057435326394882e-06,0.09079328178978882,4.107142857142857,0.62475,141871.0,6239.0,966.0,9593.0
73.0,8.0,0.47857300800144004,0.039303097275480585,222620.64591540073,14.592265932098266,100.1116203648687,1.4237864617994428e-05,1.2929081800805612e-07,5.4636229567100427e-05,2.2255647231918224e-06,0.09629199893817904,4.107142857142857,0.714,142249.0,6242.0,886.0,9440.0
73.0,8.5,0.4917320991272303,0.04038379558049718,232029.73835815175,12.350367608454544,108.65071739659277,1.6882422210680512e-05,1.412568358765885e-07,6.134163512741035e-05,2.589561283212419e-06,0.0896473533290269,4.107142857142857,0.62475,140239.0,6347.0,925.0,9656.0
73.0,9.0,0.47490530004601056,0.03900188454484145,226772.37163740332,8.859166977162529,121.55648187420982,2.3515240881848862e-05,1.7586467937508868e-07,7.988437025667879e-05,3.5351085596068255e-06,0.0760325683608314,4.107142857142857,0.5355,142131.0,6188.0,895.0,9445.0
73.0,9.5,0.4876912873212882,0.04005194147083043,220111.29220258573,5.964558476785862,124.17984765525068,3.494792439888412e-05,2.558453804100682e-07,0.00011864690945720884,5.2757430957476035e-06,0.06003084329971119,4.107142857142857,0.44625,141349.0,6323.0,890.0,9308.0
73.0,10.0,0.4794584500466853,0.03937581473813358,230993.305846298,4.464653678347041,112.52590534097234,4.660804648658268e-05,3.765439720129131e-07,0.00016895916539288544,7.191118884551091e-06,0.04470641025626307,4.107142857142857,0.357,140046.0,6162.0,898.0,9386.0
76.0,5.0,0.4820290882082384,0.03958692994946886,223047.66011953252,13.34593037513992,95.13155574189399,1.555810235819851e-05,1.4867547688296123e-07,6.185405157719493e-05,2.4638522660573387e-06,0.010937566094832629,4.107142857142857,0.16575,142082.0,6283.0,889.0,9460.0
76.0,5.5,0.47341702916819783,0.03887965940028678,226187.58366587805,14.552527316566083,95.14095209799538,1.426409724227339e-05,1.3629631450380098e-07,5.670554982937475e-05,2.2588687633601537e-06,0.016412025514918,4.107142857142857,0.24862499999999998,141866.0,6155.0,861.0,9427.0
76.0,6.0,0.4831089151795382,0.03967561139155628,227457.88576428726,15.994102754953428,95.1723423296365,1.2974967074244825e-05,1.2393752559010798e-07,5.156873854469e-05,2.0545425572034777e-06,0.026226574533685622,4.107142857142857,0.3315,141446.0,6272.0,923.0,9441.0
76.0,6.5,0.473577631454812,0.03889284896005703,229069.11136188806,15.946097845155785,95.27671183898741,1.3000294215918802e-05,1.2404342109508838e-07,5.162949450341031e-05,2.0579578743368573e-06,0.04492186190656143,4.107142857142857,0.41437500000000005,140783.0,6111.0,911.0,9319.0
76.0,7.0,0.47858218208074743,0.03930385070228361,223564.1035198539,15.839375362545038,95.62081421205254,1.3084221511487325e-05,1.2439495445255857e-07,5.1831078514817016e-05,2.069280723611361e-06,0.07094001017651563,4.107142857142857,0.49724999999999997,141474.0,6215.0,979.0,9459.0
