temperature_C,pH,enrichment,thymine_fraction,dna_yield,half_life_hours,stability_ratio,k_U,k_T,k_C,k_A,poly_rate,uv_resistance_ratio,vesicle_fraction,comp_U,comp_T,comp_C,comp_A
70.0,6.0,2.6819648100151037,0.2202579795664578,1528294.0460422612,23.67406354509669,95.1843363687421,1.2966140755555404e-05,1.2383760959581005e-07,5.153885405743803e-05,2.0530414497864684e-06,0.02621368827634094,4.107142857142857,0.3825,23520.0,9033.0,204.0,8254.0
70.0,6.5,2.679342400394145,0.22004261259275587,1529007.5996327046,23.502766649969818,95.28871903119975,1.2991450668251256e-05,1.2394341972991817e-07,5.159957480760516e-05,2.0564542715916986e-06,0.04489978984098584,4.107142857142857,0.47812499999999997,23544.0,8985.0,211.0,8093.0
70.0,7.0,2.7597320842575597,0.2266446639245339,1534425.5115686718,23.724756240680662,95.63286476956637,1.3075320871647353e-05,1.24294669688113e-07,5.180104199950088e-05,2.067768848069434e-06,0.07090515426248863,4.107142857142857,0.57375,23069.0,9202.0,191.0,8139.0
70.0,7.5,2.6731741756811744,0.2195360434134298,1528691.7450221619,22.866667506262772,96.74391269609224,1.3350639341323882e-05,1.2545435177793084e-07,5.2465083434786884e-05,2.104967466954941e-06,0.09077078038913432,4.107142857142857,0.6693749999999999,23524.0,8981.0,230.0,8174.0
70.0,8.0,2.7027323152776828,0.22196352347691115,1526038.8898474304,21.76860250566314,100.11798309266699,1.4232979116501443e-05,1.2923823996849898e-07,5.462025900785597e-05,2.224744497754281e-06,0.0962681347842987,4.107142857142857,0.765,23460.0,9152.0,199.0,8421.0
70.0,8.5,2.687828588433687,0.22073954591001296,1528701.3937319296,18.371315571757286,108.65762283811257,1.687662927043783e-05,1.4119939167738814e-07,6.132370453033739e-05,2.5886069078961548e-06,0.08962513592510549,4.107142857142857,0.6693749999999999,23280.0,9032.0,211.0,8394.0
70.0,9.0,2.661359930536252,0.21856579139669705,1525480.260027541,13.169182311039888,121.56420755883534,2.3507171993183432e-05,1.757931613801425e-07,7.986101948599058e-05,3.5338057055784322e-06,0.07601372512430825,4.107142857142857,0.57375,23563.0,8973.0,192.0,8326.0
70.0,9.5,2.6799887419082467,0.22009569377990432,1526532.346174418,8.909736255258393,124.18774007139369,3.493593256293061e-05,2.5574133707010825e-07,0.00011861222812008747,5.27379873589863e-06,0.0600159657886213,4.107142857142857,0.47812499999999997,23299.0,9016.0,206.0,8443.0
70.0,10.0,2.7670119210474886,0.22724252491694352,1531456.7396341255,6.654533786969016,112.53305707523987,4.659205366133784e-05,3.763908447904196e-07,0.00016890977742482508,7.188468618498603e-06,0.04469533061656759,4.107142857142857,0.3825,23184.0,9234.0,204.0,8013.0
73.0,5.0,2.667352305017176,0.21905791876952654,1524291.68633027,19.764864304798515,95.13749805008527,1.5552855562508687e-05,1.4861605457437142e-07,6.183628185644668e-05,2.4629598220018627e-06,0.010934902001653772,4.107142857142857,0.1785,23769.0,9115.0,216.0,8510.0
